title,featured_image
R’s Killer Feature: RMarkdown,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-s-killer-feature-r-markdown.png
R-Bootcamp,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-bootcamp.png
Data Science for the Biomedical Sciences,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/data-science-for-the-biomedical-sciences.png
Stat545,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/stat545.png
Getting more out of dplyr,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/getting-more-out-of-dplyr.png
ViewPipeSteps,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/view-pipe-steps.png
Pivoting tidily,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/pivoting-tidily.png
Data Wrangling with dplyr and tidyr,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/data-wrangling-with-dplyr-and-tidyr.png
RStudio Cloud Primer: Work with Data,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-studio-cloud-primer-work-with-data.png
RStudio Cloud Primer: Tidy Your Data,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-studio-cloud-primer-tidy-your-data.png
RStudio Cloud Primer: Visualize Your Data,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-studio-cloud-primer-visualize-your-data.png
RStudio Cloud Primer: Iterate,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-studio-cloud-primer-iterate.png
RStudio Cloud Primer: Functions,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-studio-cloud-primer-functions.png
Using the tidyverse with Databases,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/using-the-tidyverse-with-databases.png
dbplyr,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/dbplyr.png
RSQLite,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/rsq-lite.png
DBI,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/dbi.png
R for Data Science: Chapter 19: Functions,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/r-for-data-science-chapter-19-functions.png
Stat545: Chapters 18-20: Write your own functions,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/stat545-chapters-18-20-write-your-own-functions.png
How to Make Functions in R,https://raw.githubusercontent.com/rfortherestofus/rru-website/master/plots/how-to-make-functions-in-r.png
